,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,528.7,68.64999999999999,509.8,86.58
1,Boston Celtics,526.4,72.03,531.3,70.72
2,Brooklyn Nets,536.1,72.28000000000002,512.5999999999999,77.91
3,Charlotte Hornets,510.59999999999997,65.69,503.59999999999997,78.59
4,Chicago Bulls,491.6,60.33,488.40000000000003,71.53
5,Cleveland Cavaliers,518.8000000000001,62.04,526.6,82.12
6,Detroit Pistons,536.4000000000001,59.07,536.1,80.03999999999999
7,Indiana Pacers,496.99999999999994,57.41,481.1,79.39000000000001
8,Miami Heat,518.5,67.73,511.0,93.33
9,Milwaukee Bucks,542.9,62.99,540.8000000000001,69.78
10,New York Knicks,534.0,70.14,528.4000000000001,78.07
11,Orlando Magic,518.6,66.01,528.8000000000001,75.61
12,Philadelphia 76ers,531.9,51.18000000000001,538.9000000000001,71.35
13,Toronto Raptors,509.7,61.980000000000004,514.4000000000001,82.32000000000001
14,Washington Wizards,509.30000000000007,37.97,510.4,82.47999999999999
15,Dallas Mavericks,518.6,77.13,532.9,86.41999999999999
16,Denver Nuggets,511.4,60.8,537.8,80.98
17,Golden State Warriors,510.1,64.42,494.1,88.48000000000002
18,Houston Rockets,508.1,61.39999999999999,516.9,92.34
19,LA Clippers,501.8,59.370000000000005,510.1,89.11
20,Los Angeles Lakers,535.2,72.7,542.5,68.84
21,Memphis Grizzlies,503.79999999999995,73.03,510.5,78.69
22,Minnesota Timberwolves,520.6,59.620000000000005,520.2,92.12
23,New Orleans Pelicans,532.0,73.86,538.6,85.33
24,Oklahoma City Thunder,499.8,60.94,507.0,91.03999999999999
25,Phoenix Suns,520.1,71.97,516.7,82.22
26,Portland Trail Blazers,525.0,62.940000000000005,521.7,89.77000000000001
27,Sacramento Kings,535.7,53.830000000000005,528.0,84.03
28,San Antonio Spurs,503.5,79.23,490.1,90.31
29,Utah Jazz,540.0,60.120000000000005,551.6,73.78999999999999
